,name,skills,ratings,level
0,Google Data Analytics," Data Analysis, SQL, R Programming, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8,Beginner Â· Professional Certificate Â· 3 - 6 Months
1,IBM Data Science," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Business Analysis, Computer Programming, Database Application, Database Theory, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",4.6,Beginner Â· Professional Certificate Â· 3 - 6 Months
2,IBM Data Analyst," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Database Theory, Computer Programming, Database Application, Statistical Visualization, Big Data, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression",4.6,Beginner Â· Professional Certificate Â· 3 - 6 Months
3,Machine Learning," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Mathematics, Tensorflow, Critical Thinking, Network Model, Network Architecture, Reinforcement Learning",4.9,Beginner Â· Specialization Â· 1 - 3 Months
4,Data Science Fundamentals with Python and SQL," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, R Programming, Business Analysis, Data Management, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,Beginner Â· Specialization Â· 3 - 6 Months
5,Introduction to Data Science," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Business Analysis, Computer Programming, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",4.6,Beginner Â· Specialization Â· 3 - 6 Months
6,IBM & Darden Digital Strategy," Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Structures, Market Analysis, Computational Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,Beginner Â· Specialization Â· 3 - 6 Months
7,Applied Data Science," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",4.6,Beginner Â· Specialization Â· 3 - 6 Months
8,Deep Learning," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Mathematics, Mathematical Theory & Analysis, Regression, Calculus",4.8,Intermediate Â· Specialization Â· 3 - 6 Months
9,IBM AI Foundations for Business," Machine Learning, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Computational Thinking, Business Transformation, Cloud Computing, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",4.7,Beginner Â· Specialization Â· 1 - 3 Months
10,IBM Data Analytics with Excel and R," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Data Model, Database Administration, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Business Analysis, Python Programming, Big Data, Data Science, NoSQL",4.7,Beginner Â· Professional Certificate Â· 3 - 6 Months
11,Data Analysis and Visualization Foundations," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,Beginner Â· Specialization Â· 3 - 6 Months
12,AI Foundations for Everyone," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Machine Learning Software, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Computational Thinking, Computer Programming, Data Science",4.7,Beginner Â· Specialization Â· 3 - 6 Months
13,Prompt Engineering," Creativity, Data Analysis, Leadership and Management, Problem Solving, Writing",4.8,Beginner Â· Specialization Â· 1 - 3 Months
14,Google Advanced Data Analytics," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",4.7,Advanced Â· Professional Certificate Â· 3 - 6 Months
15,"Foundations: Data, Data, Everywhere"," Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",4.8,Beginner Â· Course Â· 1 - 3 Months
16,Supervised Machine Learning: Regression and Classification," Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",4.9,Beginner Â· Course Â· 1 - 4 Weeks
17,Generative AI Fundamentals," Business Transformation, Machine Learning",4.6,Beginner Â· Specialization Â· 3 - 6 Months
18,Generative AI for Data Scientists," Data Analysis, Data Science",4.7,Intermediate Â· Specialization Â· 1 - 3 Months
19,Generative AI for Data Analysts, Data Analysis,4.7,Intermediate Â· Specialization Â· 1 - 3 Months
20,IBM AI Engineering," Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Mathematics, Computer Vision, Apache, Big Data, Mathematical Theory & Analysis, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Plot (Graphics), Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Data Science",4.6,Intermediate Â· Professional Certificate Â· 3 - 6 Months
21,Generative AI for Everyone," Strategy, Writing",4.8,Beginner Â· Course Â· 1 - 4 Weeks
22,AI in Healthcare," Machine Learning, Leadership and Management, Data Analysis, Data Mining",4.7,Beginner Â· Specialization Â· 3 - 6 Months
23,Machine Learning Engineering for Production (MLOps)," Machine Learning, Applied Machine Learning, Python Programming, Statistical Programming, Tensorflow, DevOps, Devops Tools, Exploratory Data Analysis, Feature Engineering, Machine Learning Software, Probability & Statistics, Cloud Computing, Cloud Infrastructure, Google Cloud Platform, Other Cloud Platforms and Tools, Performance Management, Strategy and Operations, Kubernetes, Leadership and Management",4.7,Advanced Â· Specialization Â· 3 - 6 Months
24,DeepLearning.AI TensorFlow Developer," Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Algorithms, Network Model, Statistical Machine Learning, Statistical Analysis",4.7,Intermediate Â· Professional Certificate Â· 3 - 6 Months
25,Natural Language Processing," Machine Learning, Natural Language Processing, Python Programming, Statistical Programming, Artificial Neural Networks, Probability & Statistics, Statistical Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Linear Algebra, Mathematics",4.6,Intermediate Â· Specialization Â· 3 - 6 Months
26,Prompt Engineering for ChatGPT," Creativity, Problem Solving, Writing",4.8,Beginner Â· Course Â· 1 - 3 Months
27,Ask Questions to Make Data-Driven Decisions," Business Communication, Data Analysis, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data",4.7,Beginner Â· Course Â· 1 - 4 Weeks
28,Google Business Intelligence," Business Intelligence, Data Analysis, Data Management, Data Model, Data Visualization, Extract, Transform, Load, Leadership and Management, Strategy, Tableau Software",4.7,Advanced Â· Professional Certificate Â· 3 - 6 Months
29,Neural Networks and Deep Learning," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computer Programming, Network Architecture, Network Model, Calculus, Human Learning, Regression, Mathematics",4.9,Intermediate Â· Course Â· 1 - 4 Weeks
30,IBM Machine Learning," Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, General Statistics, Statistical Analysis, Deep Learning, Python Programming, Regression, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Reinforcement Learning, Interactive Data Visualization, Network Model",4.6,Intermediate Â· Professional Certificate Â· 3 - 6 Months
31,Advanced Learning Algorithms," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Network Architecture",4.9,Beginner Â· Course Â· 1 - 4 Weeks
32,IBM Introduction to Machine Learning," Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Python Programming, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Statistical Tests, Interactive Data Visualization",4.6,Intermediate Â· Specialization Â· 3 - 6 Months
33,"Python for Data Science, AI & Development"," Python Programming, Computer Programming, Data Analysis",4.6,Beginner Â· Course Â· 1 - 3 Months
34,Business Analytics," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, People Development, Collaboration, Finance, Regulations and Compliance",4.6,Beginner Â· Specialization Â· 3 - 6 Months
