,course_name,skills,ratings,difficulty,certification_type
0,Google Data Analytics," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8,Beginner,Professional
1,IBM Data Science," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Analysis Software, Data Management, Data Visualization, Human Learning, R Programming, Business Analysis, Computer Programming, Data Structures, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",4.6,Beginner,Professional
2,IBM Data Analyst," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Data Analysis Software, Computer Programming, Database Application, Statistical Visualization, Big Data, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression",4.6,Beginner,Professional
3,Machine Learning," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning",4.9,Beginner,Specialization
4,Introduction to Data Science," Data Science, Python Programming, Data Analysis, Data Analysis Software, Data Management, R Programming, Business Analysis, Computer Programming, Data Structures, Database Application, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",4.6,Beginner,Specialization
5,Data Science Fundamentals with Python and SQL," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Analysis Software, Data Visualization, Data Science, R Programming, Business Analysis, Data Management, Data Structures, Database Application, Databases, SQL, Cloud Computing, IBM Cloud",4.6,Beginner,Specialization
6,IBM & Darden Digital Strategy," Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Structures, Market Analysis, Natural Language Processing, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,Beginner,Specialization
7,Applied Data Science," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",4.6,Beginner,Specialization
8,IBM AI Foundations for Business," Machine Learning, Machine Learning Algorithms, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Natural Language Processing, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",4.7,Beginner,Specialization
9,IBM Data Analytics with Excel and R," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Data Mining, Data Visualization Software, Visual Design, Business Analysis, Python Programming, Big Data, Data Science, NoSQL",4.7,Beginner,Professional
